start hour,end hour,t+0,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,t+13,t+14,t+15,t+16,t+17,t+18,t+19,t+20,t+21,t+22,t+23
64,87,0.015151514863446902,0.14029947844874502,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756
66,89,0.031072443114301906,0.05607836173117131,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698
68,91,0.22543797305724822,0.09974254335293531,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934
70,93,0.28228574925608085,0.4648289551592264,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144
72,95,0.07599431836186077,0.10100023676743008,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605
74,97,0.12600615517299918,0.15247691743621927,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995
76,99,0.4757338986374713,0.506865533033678,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634
78,101,0.6390269888329159,0.8522135414881242,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577
80,103,0.5466382548511155,0.158647016798646,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328
82,105,0.6479344161857812,0.06991300364718633,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654
84,107,0.7075639149069881,0.046016809388031654,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024
86,109,0.01254734859887563,0.10724431555919756,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685
88,111,0.35787563157519253,0.1394906089878698,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625
90,113,0.08854166662265617,0.12674597784911934,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625
92,115,0.5718513292293956,0.43508818607402144,0.28421914481461363,0.13335010355520605,0.24715908864054925,0.5622336632130995,0.19466145961614378,0.0568477746264634,0.05172822017407808,0.31679095751289577,0.271839484193807,0.11162405320134328,0.14997632857573917,0.4375443865948654,0.26710464202246076,0.16702177810951024,0.4364346618425541,0.08312618381939685,0.05288233901890249,0.0625,0.0625,0.0625,0.3277698889372447,0.5137310601119449
